"code","name","postal_code","population","code_department","code_city_community","code_canton"
"03011",Aurouër,"03460",416,"03","200071140","0319"
"03012",Autry-Issards,"03210",326,"03","200071496","0316"
"03013",Avermes,"03000",3907,"03","200071140","0313"
"03014",Avrilly,"03130",134,"03","200071470","0305"
"03015",Bagneux,"03460",318,"03","200071140","0313"
"03016",Barberier,"03140",143,"03","200071389","0306"
"03017",Barrais-Bussolles,"03120",194,"03","240300491","0308"
"03018",Bayet,"03500",707,"03","200071389","0315"
"03019",Beaulon,"03230",1664,"03","200071470","0305"
"03020",Beaune-d'Allier,"03390",290,"03","200071512","0303"
"03021",Bègues,"03800",227,"03","200071389","0306"
"03022",Bellenaves,"03330",1022,"03","200071389","0306"
"03023",Bellerive-sur-Allier,"03700",8501,"03","200071363","0301"
"03024",Bert,"03130",247,"03","240300491","0314"
"03025",Bessay-sur-Allier,"03340",1339,"03","200071140","0314"
"03026",Besson,"03210",771,"03","200071140","0316"
"03027",Bézenet,"03170",974,"03","200071512","0303"
"03028",Billezois,"03120",387,"03","240300491","0308"
"03029",Billy,"03260",781,"03","200071363","0315"
"03030",Biozat,"03800",832,"03","200071389","0306"
"03031",Bizeneuille,"03170",295,"03","200071512","0307"
"03032",Blomard,"03390",237,"03","200071512","0303"
"03033",Bost,"03300",192,"03","200071363","0304"
"03034",Boucé,"03150",514,"03","200071470","0315"
"03035",Le Bouchaud,"03130",214,"03","200071470","0305"
"03036",Bourbon-l'Archambault,"03160",2550,"03","200071496","0302"
"03037",Braize,"03360",267,"03","240300558","0302"
"03038",Bransat,"03500",504,"03","200071389","0316"
"03039",Bresnay,"03210",378,"03","200071140","0316"
"03040",Bressolles,"03000",1099,"03","200071140","0316"
"03041",Le Brethon,"03350",327,"03","240300558","0307"
"03042",Le Breuil,"03120",534,"03","240300491","0308"
"03043",Broût-Vernet,"03110",1182,"03","200071389","0301"
"03044",Brugheas,"03700",1473,"03","200071363","0301"
"03045",Busset,"03270",940,"03","200071363","0308"
"03046",Buxières-les-Mines,"03440",1059,"03","200071496","0302"
"03047",La Celle,"03600",414,"03","200071512","0311"
"03048",Cérilly,"03350",1313,"03","240300558","0302"
"03049",Cesset,"03500",406,"03","200071389","0316"
"03050",La Chabanne,"03250",189,"03","200071363","0308"
"03051",Chambérat,"03370",307,"03","240300657","0307"
